,name,method
96,public static Jar File load Embedded Jar String  String ,"public static JarFile loadEmbeddedJar(String, String)"
97,private static Input Stream get Embedded Jar Input Stream String ,private static InputStream getEmbeddedJarInputStream(String)
98,public void execute Object  Object ,"public void execute(Object, Object)"
99,private static byte[] read Byte Code Input Stream ,private static byte[] readByteCode(InputStream)
100,public static Class Reader create Class Reader Class Loader  String ,"public static ClassReader createClassReader(ClassLoader, String)"
101,private static void try Close Input Stream ,private static void tryClose(InputStream)
102,public static byte[] get Class Bytecode String ,public static byte[] getClassBytecode(String)
103,public static Class define Class byte[] ,public static Class defineClass(byte[])
104,public String execute Web App String ,public String executeWebApp(String)
105,public String execute  ,public String execute()
106,protected String look In Sys Prop  ,protected String lookInSysProp()
107,protected String look In Folder String ,protected String lookInFolder(String)
108,private String normalized Requested File Name  ,private String normalizedRequestedFileName()
109,protected boolean is Archive String ,protected boolean isArchive(String)
110,protected String look Inside Jar File ,protected String lookInsideJar(File)
111,protected void look In Web App Archives String  String ,"protected void lookInWebAppArchives(String, String)"
112,public String execute On Tomcat List ,public String executeOnTomcat(List)
113,private String extract Collected File List ,private String extractCollectedFile(List)
114,protected String look In Sub Folders String ,protected String lookInSubFolders(String)
115,protected String look In Webapp Location String  boolean ,"protected String lookInWebappLocation(String, boolean)"
116,protected String look In Main Class Location  ,protected String lookInMainClassLocation()
117,private String look In Spring Boot Class Path File ,private String lookInSpringBootClassPath(File)
118,public static boolean is Lambda Method String ,public static boolean isLambdaMethod(String)
119,public static boolean is Abstract Method int ,public static boolean isAbstractMethod(int)
120,public static boolean is Class Generated By Java Assist String ,public static boolean isClassGeneratedByJavaAssist(String)
121,public static boolean skip Method Instrumentation String  int  String ,"public static boolean skipMethodInstrumentation(String, int, String)"
122,public static boolean is Synthetic Method int ,public static boolean isSyntheticMethod(int)
123,public static String slash To Dot String ,public static String slashToDot(String)
124,public static String dot To Slash String ,public static String dotToSlash(String)
125,public static String resolve Class Simple Name String ,public static String resolveClassSimpleName(String)
126,public static String resolve Binary Package Name String ,public static String resolveBinaryPackageName(String)
127,public boolean match Method Signature ,public boolean match(MethodSignature)
128,public String execute  ,public String execute()
129,public Thread new Thread Runnable ,public Thread newThread(Runnable)
130,public static Method get Premain Method Class Loader  String ,"public static Method getPremainMethod(ClassLoader, String)"
131,public static Method get Method Of Class In Jar File  Class Loader  String  String  Class[] ,"public static Method getMethodOfClassInJar(File, ClassLoader, String, String, Class[])"
132,public static Method get Main Method Of Class In Jar File  Class Loader  String ,"public static Method getMainMethodOfClassInJar(File, ClassLoader, String)"
133,public static Method get Method String  String  Class Loader  Class[] ,"public static Method getMethod(String, String, ClassLoader, Class[])"
134,public static Method get Main Method Class Loader  String ,"public static Method getMainMethod(ClassLoader, String)"
135,public static void add Core Jar To Classpath Class Loader  Class  String ,"public static void addCoreJarToClasspath(ClassLoader, Class, String)"
136,public static File create Temp Core Jar File Class  String ,"public static File createTempCoreJarFile(Class, String)"
137,public static Method get Agentmain Method Class Loader  String ,"public static Method getAgentmainMethod(ClassLoader, String)"
138,private static void add Jar To Class Path Post Java9 Class  File  Class Loader ,"private static void addJarToClassPathPostJava9(Class, File, ClassLoader)"
139,public static void try Add Jar To Classpath File  Class Loader ,"public static void tryAddJarToClasspath(File, ClassLoader)"
140,private static void add Jar To Class Path Pre Java9 Class  File  Class Loader ,"private static void addJarToClassPathPreJava9(Class, File, ClassLoader)"
141,public static String build Agent Version Message String ,public static String buildAgentVersionMessage(String)
142,public String to String  ,public String toString()
143,public static Class Signature Factory$Signature Configuration create Scan Config boolean  boolean ,"public static ClassSignatureFactory$SignatureConfiguration createScanConfig(boolean, boolean)"
144,public static Class Signature Factory$Signature Configuration create Scan Config  ,public static ClassSignatureFactory$SignatureConfiguration createScanConfig()
145,public boolean is Scan Signature  ,public boolean isScanSignature()
146,public static Class Signature Factory$Signature Configuration create Coverage Config boolean  boolean ,"public static ClassSignatureFactory$SignatureConfiguration createCoverageConfig(boolean, boolean)"
147,public static Class Signature Factory$Signature Configuration create Coverage Config  ,public static ClassSignatureFactory$SignatureConfiguration createCoverageConfig()
148,protected Single Procedure create Concrete Instance  ,protected SingleProcedure createConcreteInstance()
149,public static Class Signature create Coverage Signature Input Stream  boolean  boolean ,"public static ClassSignature createCoverageSignature(InputStream, boolean, boolean)"
150,public static Class Signature create Signature Input Stream  Class Signature Factory$Signature Configuration  Method Signature Exclude Filter$Custom Exclude Method Filter ,"public static ClassSignature createSignature(InputStream, ClassSignatureFactory$SignatureConfiguration, MethodSignatureExcludeFilter$CustomExcludeMethodFilter)"
151,public static Class Signature create Default Scan Signature Input Stream ,public static ClassSignature createDefaultScanSignature(InputStream)
152,private void check Queue Size  ,private void checkQueueSize()
153,public void add On Enabled Changed Single Procedure ,public void addOnEnabledChanged(SingleProcedure)
154,public void set Max Items In Queue int ,public void setMaxItemsInQueue(int)
155,public boolean is Queue Full  ,public boolean isQueueFull()
156,public int get Queue Size  ,public int getQueueSize()
157,public int get Max Items In Queue  ,public int getMaxItemsInQueue()
158,public boolean enqueue Message Object ,public boolean enqueueMessage(Object)
159,public List get Queue Contents And Empty Queue  ,public List getQueueContentsAndEmptyQueue()
160,public void add On Queue Full Single Procedure ,public void addOnQueueFull(SingleProcedure)
161,public void set Enabled boolean ,public void setEnabled(boolean)
162,public boolean requeue Messages List ,public boolean requeueMessages(List)
163,private List clone Queue  ,private List cloneQueue()
164,public boolean is Enabled  ,public boolean isEnabled()
165,protected varargs void log Info Message String  Object[] ,"protected varargs void logInfoMessage(String, Object[])"
166,public List detect  ,public List detect()
167,private void log Detected Values  ,private void logDetectedValues()
168,public void run  ,public void run()
169,public Object execute Object ,public Object execute(Object)
170,public Textifier visit Method Annotation String  boolean ,"public Textifier visitMethodAnnotation(String, boolean)"
171,private String modify Lambda Name String ,private String modifyLambdaName(String)
172,public Textifier visit Method int  String  String  String  String[] ,"public Textifier visitMethod(int, String, String, String, String[])"
173,protected void append Handle Handle ,protected void appendHandle(Handle)
174,public Textifier visit Array String ,public Textifier visitArray(String)
175,public Textifier visit Annotation Default  ,public Textifier visitAnnotationDefault()
176,public Textifier visit Field int  String  String  String  Object ,"public Textifier visitField(int, String, String, String, Object)"
177,private boolean is Lambda String ,private boolean isLambda(String)
178,public Textifier visit Field Annotation String  boolean ,"public Textifier visitFieldAnnotation(String, boolean)"
179,public Textifier visit Annotation String  String ,"public Textifier visitAnnotation(String, String)"
180,public Textifier visit Class Annotation String  boolean ,"public Textifier visitClassAnnotation(String, boolean)"
181,public Textifier visit Parameter Annotation int  String  boolean ,"public Textifier visitParameterAnnotation(int, String, boolean)"
182,public void visit Ldc Insn Object ,public void visitLdcInsn(Object)
183,public void visit Local Variable String  String  String  String  String  String  Label  Label  int ,"public void visitLocalVariable(String, String, String, String, String, String, Label, Label, int)"
184,private boolean is Code Coverage  ,private boolean isCodeCoverage()
185,public byte[] transform Class Loader  String  Class  Protection Domain  byte[] ,"public byte[] transform(ClassLoader, String, Class, ProtectionDomain, byte[])"
186,public Functions Chain remove Functions Chain ,public FunctionsChain remove(FunctionsChain)
187,public static Functions Chain combine Functions Chain  Functions Chain ,"public static FunctionsChain combine(FunctionsChain, FunctionsChain)"
188,public static Functions Chain remove Functions Chain  Functions Chain ,"public static FunctionsChain remove(FunctionsChain, FunctionsChain)"
189,public Functions Chain add Functions Chain ,public FunctionsChain add(FunctionsChain)
190,public void visit Enum String  String  String ,"public void visitEnum(String, String, String)"
191,public Annotation Visitor visit Annotation String  String ,"public AnnotationVisitor visitAnnotation(String, String)"
192,public void visit String  Object ,"public void visit(String, Object)"
193,public Annotation Visitor visit Array String ,public AnnotationVisitor visitArray(String)
194,public void visit End  ,public void visitEnd()
195,public Object execute Object  Object ,"public Object execute(Object, Object)"
196,public String get Property Value String ,public String getPropertyValue(String)
197,public Map get All Sl Properties  ,public Map getAllSlProperties()
198,public String get File Storage  ,public String getFileStorage()
199,public boolean match Method Signature ,public boolean match(MethodSignature)
200,public List get Aggregated Rules  ,public List getAggregatedRules()
201,public boolean is Empty  ,public boolean isEmpty()
202,public static void print All Methods Object ,public static void printAllMethods(Object)
203,public static varargs Object invoke Instance Method Safe Object  String  Object  String  Object[] ,"public static varargs Object invokeInstanceMethodSafe(Object, String, Object, String, Object[])"
204,public static Object get Field Safe Silent Object  String ,"public static Object getFieldSafeSilent(Object, String)"
205,public static varargs Object invoke Instance Method Object  String  Object[] ,"public static varargs Object invokeInstanceMethod(Object, String, Object[])"
